epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,13414.9,0.74781,0.50725,1.06538,0.92818,0.91918,0.92341,0.76283,0.64809,0.61235,1.12849,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13632.7,0.74422,0.50272,1.06493,0.92672,0.92022,0.92327,0.76161,0.64865,0.61421,1.12902,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13850.8,0.74217,0.49531,1.06055,0.92584,0.91936,0.92298,0.7611,0.64897,0.61584,1.12938,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14068.9,0.74278,0.49733,1.0612,0.92474,0.91895,0.92296,0.76081,0.64962,0.61816,1.13023,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14285.9,0.73417,0.49322,1.05604,0.92414,0.9203,0.92282,0.76099,0.64972,0.62043,1.13053,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14503.7,0.73716,0.49605,1.05855,0.92296,0.91954,0.92143,0.76107,0.65003,0.62227,1.13151,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14720.1,0.73339,0.49232,1.05659,0.92155,0.91972,0.92164,0.76083,0.65056,0.62436,1.13209,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14937.4,0.73349,0.49513,1.0568,0.92151,0.91877,0.92139,0.76041,0.6514,0.62684,1.13314,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15154.1,0.72531,0.48613,1.05039,0.9213,0.92039,0.92196,0.75966,0.6519,0.62976,1.13419,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15370.8,0.72779,0.48585,1.05261,0.92071,0.92072,0.92232,0.76,0.65181,0.63073,1.13461,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15587.9,0.72457,0.48636,1.0522,0.92959,0.91384,0.92213,0.76145,0.65159,0.63224,1.13463,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15805,0.72159,0.48087,1.04761,0.92661,0.91577,0.92207,0.76058,0.65142,0.63383,1.13508,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16022.2,0.72335,0.48271,1.05261,0.93478,0.91111,0.92231,0.75985,0.65185,0.63546,1.13567,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16239.7,0.71959,0.48209,1.04889,0.92466,0.91821,0.92311,0.76026,0.65204,0.63687,1.13595,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16456.7,0.71548,0.47959,1.0478,0.93357,0.91143,0.92248,0.75992,0.65217,0.63747,1.13656,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16674.4,0.71472,0.47701,1.04549,0.93471,0.91114,0.92249,0.76055,0.65258,0.63988,1.13725,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16891.9,0.71104,0.47401,1.0425,0.92697,0.91887,0.92435,0.76097,0.65292,0.63894,1.13775,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17109.1,0.70795,0.47214,1.04311,0.92687,0.91859,0.92458,0.76038,0.65336,0.64155,1.13857,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17326.6,0.70827,0.47306,1.04365,0.92806,0.91962,0.9255,0.76088,0.65331,0.64219,1.13886,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,17544.2,0.70506,0.46918,1.04108,0.92809,0.91931,0.9256,0.76113,0.65362,0.64285,1.13934,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,17760.8,0.70315,0.46859,1.03956,0.9278,0.91859,0.92557,0.76103,0.6535,0.6442,1.13934,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,17978.6,0.70215,0.46588,1.03741,0.92814,0.91864,0.92544,0.7608,0.65399,0.64573,1.14039,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18195.7,0.7011,0.46489,1.03877,0.92797,0.91865,0.92579,0.76088,0.65428,0.64723,1.14092,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,18413.2,0.69987,0.46693,1.03877,0.92639,0.91878,0.92577,0.76124,0.65415,0.64992,1.14106,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
